process: 6f_vvxxxx_eRpL, id: 402312, generated: 20000, available: 9200 (46.00%)
process: 6f_llyyyy_eLpR, id: 402313, generated: 20000, available: 9200 (46.00%)
process: 6f_llyyyy_eRpL, id: 402314, generated: 20000, available: 8800 (44.00%)
process: 6f_eeyyyy_eLpR, id: 402315, generated: 20000, available: 18000 (90.00%)
process: 6f_eeyyyy_eRpL, id: 402316, generated: 20000, available: 8800 (44.00%)
process: 6f_vvyyyy_eLpR, id: 402317, generated: 20000, available: 9200 (46.00%)
process: 6f_vvyyyy_eRpL, id: 402318, generated: 20000, available: 9200 (46.00%)
process: aa_2f_z_l_eBpB, id: 500053, generated: 536900000, available: 220000 (0.04%)
process: aa_2f_z_l_eBpW, id: 500054, generated: 370200000, available: 540000 (0.15%)
process: aa_2f_z_l_eWpB, id: 500055, generated: 370300000, available: 588000 (0.16%)
process: aa_2f_z_l_eWpW, id: 500056, generated: 267600000, available: 432000 (0.16%)
process: aa_2f_z_h_eBpB, id: 500057, generated: 97200000, available: 162500 (0.17%)
process: aa_2f_z_h_eBpW, id: 500058, generated: 90400000, available: 566000 (0.63%)
process: aa_2f_z_h_eWpB, id: 500059, generated: 90200000, available: 194000 (0.22%)
process: aa_2f_z_h_eWpW, id: 500060, generated: 71600000, available: 186000 (0.26%)
process: aa_4f_zz_sl_eBpB, id: 500141, generated: 6000, available: 6000 (100.00%)
process: aa_4f_zznu_sl_eBpB, id: 500145, generated: 1000, available: 1000 (100.00%)
process: aa_4f_ww_sl_eBpB, id: 500149, generated: 1000, available: 1000 (100.00%)
process: aa_4f_zz_l_eBpB, id: 500153, generated: 120000, available: 120000 (100.00%)
process: aa_4f_zznu_l_eBpB, id: 500157, generated: 1000, available: 1000 (100.00%)
process: aa_4f_zzorww_l_eBpB, id: 500165, generated: 1000, available: 1000 (100.00%)
process: e1e1h_eLpR, id: 402001, generated: 500000, available: 490800 (98.16%)
process: e1e1h_eRpL, id: 402002, generated: 500000, available: 490867 (98.17%)
process: e1e1h_eLpL, id: 402013, generated: 500000, available: 490800 (98.16%)
process: e1e1h_eRpR, id: 402014, generated: 500000, available: 498800 (99.76%)
process: e2e2h_eLpR, id: 402003, generated: 500000, available: 500000 (100.00%)
process: e2e2h_eRpL, id: 402004, generated: 500000, available: 500000 (100.00%)
process: e3e3h_eLpR, id: 402005, generated: 500000, available: 500000 (100.00%)
process: e3e3h_eRpL, id: 402006, generated: 500000, available: 500000 (100.00%)
process: n1n1h_eLpR, id: 402007, generated: 500000, available: 499600 (99.92%)
process: n1n1h_eRpL, id: 402008, generated: 500000, available: 489200 (97.84%)
process: n23n23h_eLpR, id: 402009, generated: 500000, available: 491600 (98.32%)
